file,h1_count,h2_count,word_count,has_internal_links,has_faqs,issue_count,severity,issues_summary
app/services/page.tsx,1,3,94,Yes,No,2,HIGH,thin_content; no_faqs
app/locations/page.tsx,1,1,113,Yes,No,2,HIGH,thin_content; no_faqs
app/contact/page.tsx,1,3,115,Yes,No,2,HIGH,thin_content; no_faqs
app/team/page.tsx,1,4,161,Yes,No,2,HIGH,thin_content; no_faqs
app/insurance/page.tsx,1,3,162,Yes,No,2,HIGH,thin_content; no_faqs
app/pre-construction-services-for-commercial-construction-in-tampa/page.tsx,1,4,212,Yes,No,2,HIGH,thin_content; no_faqs
app/tampa-flood-impact-restoration-services/page.tsx,1,4,216,Yes,No,2,HIGH,thin_content; no_faqs
app/tampa-debris-removal-and-cleanup-post-disaster/page.tsx,1,4,218,Yes,No,2,HIGH,thin_content; no_faqs
app/zero-accidents-commercial-construction-safety-specialists/page.tsx,1,4,221,Yes,No,2,HIGH,thin_content; no_faqs
app/facility-expansion-success-a-guide-for-commercial-construction/page.tsx,1,4,222,Yes,No,2,HIGH,thin_content; no_faqs
app/navigating-insurance-restoration-for-flood-damage-in-tampa/page.tsx,1,4,222,Yes,No,2,HIGH,thin_content; no_faqs
app/roof-repair-services-in-tampa-after-storms/page.tsx,1,4,224,Yes,No,2,HIGH,thin_content; no_faqs
app/storm-damage-restoration-and-insurance-in-tampa/page.tsx,1,4,224,Yes,No,2,HIGH,thin_content; no_faqs
app/top-tools-for-commercial-construction-in-tampa/page.tsx,1,4,225,Yes,Yes,1,HIGH,thin_content
app/invoices-for-commercial-construction-in-tampa/page.tsx,1,4,227,Yes,No,2,HIGH,thin_content; no_faqs
app/resources/page.tsx,1,4,227,Yes,No,2,HIGH,thin_content; no_faqs
app/tampa-historical-property-insurance-restoration-expert/page.tsx,1,4,227,Yes,No,2,HIGH,thin_content; no_faqs
app/top-commercial-contractors-in-tampa-for-commercial-construction/page.tsx,1,4,228,Yes,No,2,HIGH,thin_content; no_faqs
app/tampas-hvac-system-recovery-after-flooding/page.tsx,1,4,229,Yes,No,2,HIGH,thin_content; no_faqs
app/hire-top-commercial-contractor-in-tampa/page.tsx,1,4,234,Yes,No,2,HIGH,thin_content; no_faqs
app/gallery/page.tsx,1,3,243,Yes,No,2,HIGH,thin_content; no_faqs
app/page.tsx,1,3,259,No,No,3,HIGH,thin_content; no_internal_links; no_faqs
app/hurricane-resistant-luxury-home-design/page.tsx,1,8,263,Yes,Yes,1,HIGH,thin_content
app/historic-restoration/page.tsx,1,4,267,No,Yes,2,HIGH,thin_content; no_internal_links
